LOND-host 44.101.0.1
PARI-host 44.103.0.1
NEWY-host 44.105.0.1
BOST-host 44.106.0.1
ATLA-host 44.107.0.1
MIAM-host 44.108.0.1
host-LOND 44.101.0.2
host-PARI 44.103.0.2
host-NEWY 44.105.0.2
host-BOST 44.106.0.2
host-ATLA 44.107.0.2
host-MIAM 44.108.0.2
student_1 44.200.2.2
student_2 44.200.2.4
student_3 44.200.2.6
staff_1 44.200.0.3
staff_2 44.200.0.5
staff_3 44.200.0.7
GENE-students 44.200.2.9
GENE-staff 44.200.0.8
ZURI-students 44.200.2.11
ZURI-staff 44.200.0.10
PARI-ZURI 44.0.1.1
ZURI-PARI 44.0.1.2
LOND-ZURI 44.0.2.1
ZURI-LOND 44.0.2.2
GENE-PARI 44.0.3.1
PARI-GENE 44.0.3.2
LOND-PARI 44.0.4.1
PARI-LOND 44.0.4.2
NEWY-PARI 44.0.5.1
PARI-NEWY 44.0.5.2
MIAM-PARI 44.0.6.1
PARI-MIAM 44.0.6.2
BOST-LOND 44.0.7.1
LOND-BOST 44.0.7.2
NEWY-LOND 44.0.8.1
LOND-NEWY 44.0.8.2
MIAM-GENE 44.0.9.1
GENE-MIAM 44.0.9.2
BOST-NEWY 44.0.10.1
NEWY-BOST 44.0.10.2
ATLA-NEWY 44.0.11.1
NEWY-ATLA 44.0.11.2
MIAM-NEWY 44.0.12.1
NEWY-MIAM 44.0.12.2
MIAM-ATLA 44.0.13.1
ATLA-MIAM 44.0.13.2
